BTmag,e_Plx,e_DEdeg,e_RAdeg,pmDE,pmRA,Plx,Vmag,B-V,VTmag,V-I,Hpmag,e_B-V,e_V-I,r_Vmag,r_SpType,SpType
10.831,1.61,0.99,1.26,23.2,14.88,0.77,10.18,0.58,10.241,0.65,10.3192,0.02,0.02,0,1,0
8.351,0.8,0.47,0.68,8.97,-11.35,3.69,6.91,1.123,7.028,1.09,7.0837,0.007,0.01,1,2,1
10.367,1.17,0.8,0.75,-12.52,16.42,1.16,8.79,1.234,8.902,1.19,8.9491,0.02,0.02,1,0,1
8.834,0.94,0.61,0.59,16.72,41.23,3.73,7.62,0.955,7.726,0.94,7.7801,0.009,0.01,1,1,1
9.668,1.07,0.87,0.75,-2.62,7.17,4.4,9.52,0.19,9.462,0.21,9.5755,0.029,0.03,1,7,0
9.245,2.34,3.06,3.79,-29.35,72.06,7.89,8.68,0.529,8.746,0.6,8.7833,0.015,0.02,0,3,0
8.734,1.16,0.63,1.03,3.6,19.77,4.33,8.65,0.061,8.667,0.07,8.6909,0.004,0.0,0,2,0
8.893,1.01,0.59,0.78,-10.95,-15.77,5.14,8.41,0.405,8.453,0.47,8.503,0.015,0.02,1,2,0
9.611,1.2,0.88,0.84,-15.5,53.87,6.51,9.31,0.226,9.369,0.25,9.3791,0.025,0.03,1,0,0
10.777,2.0,0.94,1.63,-22.71,-13.65,6.34,10.28,0.503,10.349,0.58,10.3904,0.015,0.02,1,3,0
8.025,0.61,0.51,0.51,-5.43,78.25,11.92,7.56,0.419,7.597,0.49,7.6537,0.013,0.01,1,7,1
9.899,1.24,0.67,1.13,-25.19,-13.4,2.2,8.52,1.084,8.626,1.05,8.685,0.018,0.01,1,2,1
9.493,0.87,0.59,0.61,-20.88,14.39,2.87,7.48,1.532,7.651,1.58,7.5982,0.012,0.03,1,0,1
7.602,0.91,0.5,0.87,-133.54,210.67,20.63,7.06,0.463,7.106,0.53,7.1628,0.015,0.02,1,3,0
8.618,0.84,0.44,0.68,-117.65,131.2,9.37,7.33,1.011,7.438,0.99,7.4919,0.01,0.01,1,7,1
9.679,1.14,0.97,0.68,10.37,185.87,7.21,8.53,0.909,8.62,0.91,8.6727,0.014,0.01,1,1,0
9.676,0.77,0.63,0.7,-9.52,-0.76,2.19,8.4,1.014,8.493,0.99,8.5622,0.02,0.02,1,0,1
9.687,1.21,0.62,1.05,92.09,319.74,30.76,8.7,0.798,8.789,0.84,8.8434,0.003,0.0,1,3,0
9.05,1.46,1.26,1.11,-38.19,40.28,8.86,8.37,0.595,8.4,0.67,8.5011,0.016,0.01,1,0,0
9.709,0.69,0.52,0.53,-7.34,3.01,2.5,7.5,1.703,7.698,2.09,7.5704,0.016,0.05,1,0,1
7.369,0.57,0.49,0.45,6.98,22.73,2.53,7.39,-0.018,7.378,0.0,7.3925,0.003,0.0,1,0,1
9.63,0.88,0.68,0.68,2.67,15.51,2.38,8.66,0.79,8.743,0.82,8.8127,0.015,0.01,1,0,1
11.217,1.32,0.94,0.89,3.36,20.14,1.6,9.06,1.074,9.317,1.04,9.2287,0.197,0.16,1,0,1
10.257,1.16,0.68,0.99,-16.78,35.12,4.21,8.79,1.127,8.929,1.09,8.9599,0.021,0.02,1,1,1
6.28,0.92,0.51,0.82,2.77,30.12,6.69,6.43,-0.146,6.418,-0.1,6.3985,0.005,0.02,1,7,1
6.104,0.74,0.41,0.79,-34.71,70.1,12.45,5.93,0.141,5.955,0.16,5.9806,0.006,0.01,0,3,0
9.582,2.24,3.16,6.96,-94.73,89.49,7.79,8.85,0.631,8.884,0.7,8.9845,0.023,0.02,1,4,0
9.693,0.67,0.59,0.56,-6.81,25.51,1.17,7.79,1.45,7.954,1.45,7.9259,0.015,0.02,1,0,1
9.243,0.94,0.48,0.91,-7.76,8.65,3.64,7.58,1.271,7.731,1.23,7.7416,0.014,0.01,1,3,1
8.407,0.99,0.6,0.94,31.53,-28.98,10.66,7.85,0.505,7.903,0.58,7.9536,0.015,0.02,0,7,0
7.367,0.6,0.56,0.54,0.84,-2.21,8.95,7.18,0.156,7.196,0.17,7.231,0.007,0.01,1,0,0
10.195,1.17,0.69,0.91,-15.86,43.52,4.37,8.84,1.042,8.976,1.01,9.0037,0.026,0.02,1,1,1
7.1,0.71,0.42,0.59,3.15,-42.75,10.02,5.67,1.119,5.786,1.06,5.8385,0.001,0.03,0,2,1
9.808,0.93,0.72,0.64,4.04,36.25,2.42,8.36,1.113,8.498,1.08,8.5324,0.017,0.02,1,0,1
10.332,0.83,0.73,0.64,3.04,7.75,1.92,8.74,1.227,8.876,1.19,8.9069,0.024,0.02,1,0,1
7.967,0.96,0.5,0.8,-4.87,7.25,3.25,6.18,1.366,6.362,1.33,6.3245,0.001,0.0,1,6,1
10.635,2.36,1.66,1.45,1.99,6.23,5.68,10.16,0.393,10.233,0.46,10.2499,0.037,0.04,1,1,0
7.307,0.92,0.53,0.72,-35.67,-34.13,9.79,5.99,1.034,6.101,0.99,6.1569,0.003,0.03,0,6,1
9.609,1.43,0.99,1.37,-51.57,69.69,3.5,8.22,1.064,8.361,1.03,8.3826,0.016,0.01,1,2,1
10.973,3.35,2.37,2.78,6.99,121.71,7.73,9.86,0.789,10.068,0.82,9.9915,0.041,0.03,1,1,0
10.585,1.17,0.64,1.14,-23.14,-25.53,3.83,9.1,1.169,9.204,1.13,9.2725,0.034,0.03,1,3,1
10.416,1.1,0.79,0.78,-19.28,-10.12,2.8,8.89,1.179,9.022,1.14,9.0563,0.022,0.02,1,0,1
9.927,1.51,0.9,0.79,6.35,32.36,1.52,9.43,0.47,9.491,0.54,9.5373,0.005,0.01,0,1,0
8.352,0.97,0.54,0.86,-0.9,87.26,25.15,7.59,0.626,7.671,0.69,7.7269,0.015,0.01,1,7,0
10.114,1.46,0.98,1.07,3.33,19.09,2.3,9.86,0.157,9.866,0.17,9.9435,0.003,0.0,0,7,1
10.456,1.34,0.89,0.73,8.28,12.23,0.65,9.23,0.988,9.306,0.97,9.3935,0.022,0.02,1,0,1
7.698,0.63,0.49,0.46,-3.52,-9.43,2.17,6.41,0.998,6.535,0.98,6.5746,0.006,0.01,1,7,1
9.109,0.71,0.57,0.58,-12.01,-1.36,2.89,7.38,1.326,7.528,1.29,7.5298,0.012,0.01,1,0,1
6.808,0.69,0.41,0.52,-124.6,-114.72,30.26,6.21,0.504,6.271,0.58,6.3176,0.004,0.0,1,6,1
8.403,0.85,0.51,0.62,6.05,5.24,5.03,7.88,0.473,7.931,0.54,7.982,0.001,0.0,0,2,0
10.504,0.96,0.76,0.74,1.58,-3.76,3.19,9.1,1.113,9.194,1.08,9.2675,0.027,0.03,1,0,1
9.162,1.05,0.69,0.86,-37.51,-34.75,6.86,8.65,0.471,8.702,0.54,8.7523,0.015,0.02,1,2,0
9.102,0.7,0.62,0.61,-6.63,331.45,16.24,8.41,0.588,8.462,0.66,8.5387,0.013,0.01,1,7,0
8.365,0.86,0.56,0.71,-46.0,100.36,8.58,7.81,0.481,7.859,0.55,7.9168,0.015,0.02,0,1,1
10.091,1.13,0.84,0.84,-15.53,-2.54,4.78,9.55,0.473,9.601,0.54,9.6573,0.023,0.02,1,0,0
7.488,0.81,0.44,0.68,54.77,104.61,7.78,6.24,0.976,6.355,0.97,6.4099,0.003,0.03,1,7,1
10.748,1.21,0.78,0.92,-9.3,11.28,0.25,9.27,1.146,9.396,1.11,9.4368,0.03,0.03,1,2,1
9.245,0.96,0.49,0.96,-6.16,-16.75,3.16,7.13,1.64,7.31,2.25,7.1836,0.015,0.05,1,3,1
10.474,1.43,1.49,2.24,-7.67,-0.01,2.6,9.14,1.053,9.241,1.02,9.3044,0.027,0.02,1,2,1
8.613,1.07,0.57,0.8,-21.63,33.7,7.86,7.21,1.087,7.336,1.05,7.3744,0.01,0.01,1,3,1
8.487,0.95,0.54,0.57,-18.8,113.13,18.22,7.72,0.62,7.793,0.69,7.8539,0.007,0.01,1,1,0
6.771,0.94,0.44,0.75,-5.62,5.9,8.65,6.47,0.242,6.498,0.27,6.5439,0.007,0.01,1,7,0
6.902,0.72,0.42,0.58,-25.57,140.93,11.17,5.57,1.043,5.675,0.99,5.7323,0.003,0.03,1,6,1
7.236,0.74,1.3,0.84,13.08,46.45,7.0,6.32,0.738,6.41,0.81,6.4622,0.008,0.02,0,7,1
10.214,1.16,0.94,0.8,-156.88,-58.26,8.35,9.2,0.811,9.28,0.84,9.3395,0.022,0.02,1,0,0
9.977,1.37,0.68,1.23,-31.28,48.22,4.32,9.32,0.549,9.365,0.62,9.4502,0.015,0.01,0,2,0
9.932,1.01,0.67,0.68,-14.99,4.31,2.98,8.21,1.339,8.334,1.3,8.3613,0.015,0.02,1,1,1
6.89,0.72,0.49,0.48,-6.51,19.89,3.15,7.05,-0.122,7.021,-0.11,7.0135,0.003,0.0,1,1,0
10.09,1.19,0.73,0.9,-63.85,164.62,6.75,9.26,0.671,9.319,0.73,9.4024,0.002,0.0,0,2,0
2.72,0.56,0.42,0.36,-180.42,523.39,59.89,2.28,0.38,2.318,0.4,2.3579,0.004,0.03,1,7,1
10.54,1.46,0.76,1.32,4.53,44.0,4.36,9.3,0.972,9.41,0.96,9.4621,0.033,0.03,1,2,1
10.171,1.11,0.83,0.69,-12.43,-6.87,1.97,8.89,1.033,8.963,1.01,9.0568,0.021,0.02,1,0,1
10.116,1.28,0.75,0.79,10.88,-17.59,7.75,9.6,0.446,9.657,0.52,9.7051,0.022,0.02,1,1,0
7.85,0.79,0.52,0.61,-130.47,4.44,19.28,7.07,0.644,7.143,0.71,7.199,0.007,0.01,1,7,1
6.294,1.17,1.61,1.28,-39.37,106.17,8.56,6.01,0.203,6.067,0.22,6.0767,0.009,0.01,0,7,1
5.932,1.34,0.91,1.28,-9.99,72.57,14.57,5.42,0.414,5.486,0.48,5.51,0.002,0.0,1,2,0
8.307,1.15,1.21,1.61,-2.76,7.72,1.42,8.24,0.08,8.264,0.09,8.2559,0.015,0.02,0,7,0
5.187,0.98,0.62,0.78,-180.13,122.15,23.28,3.88,1.013,3.993,1.0,4.0452,0.029,0.02,0,7,1
8.792,1.3,1.27,1.69,38.24,276.8,13.8,7.94,0.66,8.031,0.72,8.0805,0.015,0.01,0,7,0
9.369,0.98,0.61,0.78,-37.18,-16.34,16.26,8.52,0.687,8.597,0.74,8.6556,0.014,0.01,1,2,0
8.871,0.88,0.52,0.74,-53.79,21.33,5.36,7.59,1.005,7.699,0.98,7.7573,0.012,0.01,1,7,1
10.471,1.37,0.91,0.73,11.46,35.64,1.78,9.17,1.029,9.269,1.0,9.3363,0.022,0.02,1,1,1
9.451,0.82,0.67,0.66,-26.4,2.3,4.57,8.08,1.068,8.199,1.03,8.2472,0.014,0.01,1,0,1
9.514,1.89,1.46,2.05,1.65,-8.94,8.17,8.92,0.499,8.992,0.57,9.0294,0.02,0.02,1,3,0
10.291,1.34,0.89,0.71,-7.36,17.76,4.45,9.91,0.355,9.927,0.42,9.9924,0.024,0.03,1,1,0
11.555,2.01,1.79,2.81,2.02,-2.5,4.76,9.42,1.565,9.712,2.22,9.4783,0.077,0.43,1,4,1
9.573,1.5,1.21,1.08,-15.35,64.24,3.25,8.37,0.952,8.469,0.94,8.5327,0.013,0.01,1,0,1
9.455,0.7,0.56,0.53,-45.89,16.63,4.31,7.4,1.571,7.604,2.16,7.4603,0.014,0.04,1,0,1
9.337,1.11,0.65,0.69,-119.62,135.91,13.92,8.57,0.644,8.622,0.71,8.7028,0.013,0.01,1,1,0
9.944,1.86,1.62,2.36,-140.78,-68.9,17.08,8.84,0.833,8.95,0.85,8.9796,0.003,0.0,1,2,0
6.527,0.57,0.45,0.42,17.5,17.32,7.37,6.34,0.164,6.356,0.17,6.3956,0.009,0.02,0,0,0
8.427,0.79,0.51,0.56,19.12,41.82,4.44,7.19,0.974,7.295,0.96,7.3583,0.008,0.01,1,1,1
9.151,0.77,0.59,0.58,-5.49,31.37,4.37,7.93,0.964,8.032,0.95,8.0984,0.011,0.01,1,0,1
7.84,0.89,0.53,0.75,11.49,49.04,6.14,7.66,0.139,7.671,0.15,7.706,0.004,0.0,1,2,0
5.455,0.86,0.48,0.82,1.64,29.73,10.04,5.54,-0.064,5.53,-0.04,5.5212,0.004,0.0,1,7,0
8.652,0.81,0.66,0.59,-38.68,-49.67,9.63,8.13,0.456,8.183,0.53,8.2202,0.015,0.02,0,0,0
8.429,0.68,0.57,0.57,-3.47,13.82,11.15,7.88,0.476,7.936,0.55,7.9853,0.015,0.02,1,0,0
9.825,1.42,0.71,1.22,-35.32,10.55,4.95,9.37,0.409,9.406,0.48,9.4628,0.027,0.03,1,3,0
8.77,0.6,0.51,0.49,-23.32,8.12,3.21,6.97,1.377,7.124,1.35,7.1179,0.009,0.01,1,0,1
9.356,2.9,2.22,1.85,-25.58,82.16,8.5,8.56,0.524,8.803,0.6,8.6781,0.013,0.01,1,1,0
10.349,1.52,0.8,1.18,-42.66,18.32,-2.57,9.34,0.815,9.41,0.84,9.4842,0.027,0.02,1,2,0
10.106,1.56,0.73,1.27,-9.67,18.92,6.1,9.47,0.526,9.546,0.6,9.5876,0.009,0.01,0,3,0
9.363,1.13,0.56,1.0,0.09,0.42,3.93,8.91,0.356,8.937,0.42,8.9972,0.015,0.02,1,7,1
9.556,0.83,0.62,0.58,-0.9,2.13,1.12,7.83,1.311,7.993,1.27,7.9902,0.015,0.02,1,7,1
7.099,0.92,0.49,0.77,-29.01,34.98,18.18,5.84,0.973,5.957,0.93,6.0072,0.022,0.03,1,6,1
5.507,0.68,0.4,0.41,0.21,4.51,3.24,5.01,0.405,5.074,0.55,5.1174,0.014,0.03,1,7,1
10.321,1.39,0.81,1.44,5.34,-8.67,3.85,9.81,0.437,9.872,0.51,9.906,0.033,0.04,1,3,0
9.881,1.18,0.76,0.75,-1.11,44.95,4.82,9.32,0.511,9.407,0.58,9.4395,0.005,0.01,0,1,0
9.657,1.28,0.67,1.05,71.53,180.98,13.53,8.92,0.578,9.027,0.65,9.0559,0.003,0.0,0,3,0
8.982,1.04,0.56,0.89,-8.04,24.05,10.15,8.38,0.508,8.449,0.58,8.4939,0.013,0.01,1,3,0
11.08,3.74,2.27,3.2,-9.27,4.11,4.92,9.49,1.232,9.618,1.19,9.6493,0.047,0.05,1,2,1
8.959,1.02,0.59,0.9,-51.75,70.12,6.17,8.35,0.528,8.417,0.6,8.4646,0.015,0.02,0,3,0
9.145,0.87,0.48,0.75,-16.73,-5.04,3.65,7.11,1.528,7.347,2.64,7.0964,0.015,0.03,1,6,1
10.488,2.38,2.57,2.85,10.97,16.06,4.11,9.87,0.503,9.954,0.58,9.9846,0.015,0.02,0,0,0
8.813,1.06,0.55,0.86,-65.05,-68.53,12.91,8.24,0.491,8.286,0.56,8.3504,0.015,0.02,0,7,0
6.621,0.73,0.49,0.43,-1.19,20.1,6.52,6.74,-0.074,6.713,-0.05,6.7149,0.006,0.01,0,7,1
8.664,0.76,0.43,0.63,-0.52,-25.63,4.74,6.83,1.429,6.969,1.42,6.9629,0.01,0.02,0,7,1
6.681,0.61,0.46,0.41,-3.15,7.17,1.66,6.7,-0.017,6.702,0.01,6.7079,0.005,0.01,1,7,0
9.987,1.27,0.8,0.69,-24.33,-16.12,3.45,8.67,1.037,8.774,1.01,8.8379,0.016,0.01,1,1,1
10.851,2.44,1.84,1.65,-42.51,15.68,13.51,9.94,0.7035633597562323,9.989,0.7555647066616619,10.0818,0.021655059727527657,0.02122634635341915,1,1,0
9.398,0.84,0.69,0.59,-9.78,62.11,5.51,8.73,0.563,8.794,0.64,8.8563,0.019,0.02,1,0,1
9.848,2.12,1.68,1.49,-0.81,-1.9,1.74,8.97,0.674,9.112,0.73,9.1126,0.018,0.01,1,4,1
9.412,1.15,0.83,0.72,17.04,5.33,4.38,8.55,0.692,8.633,0.75,8.6847,0.012,0.01,1,0,0
7.139,0.74,0.43,0.65,-38.22,149.39,15.35,5.84,1.0,5.975,1.01,6.0159,0.003,0.03,0,3,1
9.368,1.08,0.63,0.77,-23.46,146.05,7.95,8.68,0.588,8.731,0.66,8.8101,0.001,0.0,0,2,0
8.405,0.92,0.63,0.6,-1.36,7.58,1.62,8.27,0.146,8.26,0.16,8.3216,0.009,0.01,1,7,0
8.984,1.04,0.54,1.0,-10.3,-20.43,3.48,7.68,1.028,7.783,1.0,7.8522,0.014,0.01,1,3,1
10.047,1.0,0.87,0.81,-28.58,49.87,9.43,9.4,0.551,9.458,0.62,9.5227,0.015,0.01,1,0,1
8.103,0.82,0.52,0.63,-1.28,85.2,4.7,6.89,0.951,7.001,0.94,7.0479,0.007,0.01,1,2,1
10.402,1.19,0.76,0.72,0.63,15.04,1.02,8.88,1.169,9.02,1.13,9.0489,0.027,0.02,1,1,1
9.56,1.05,0.53,0.92,-37.52,-19.03,4.53,7.78,1.302,8.036,3.1,7.671,0.015,0.04,1,3,1
9.057,1.18,0.57,0.93,-26.71,-30.13,12.6,8.55,0.435,8.61,0.5,8.646,0.017,0.02,1,7,0
8.781756678668268,3.25,1.8,3.33,61.14,240.97,24.32,11.55,1.395,7.975777382882781,1.66,11.6507,0.019,0.05,0,6,0
8.257,0.73,0.46,0.45,11.0,-37.27,4.43,6.68,1.212,6.821,1.17,6.8469,0.008,0.01,1,7,1
5.472,0.77,0.42,0.7,-269.31,-84.2,52.94,4.89,0.487,4.953,0.59,5.0025,0.012,0.02,0,3,0
10.359,1.23,0.65,1.16,0.78,31.87,4.78,8.88,1.14,9.014,1.1,9.0494,0.034,0.04,1,2,1
9.47,1.1,0.71,0.88,-9.72,-117.08,15.08,8.6,0.7,8.681,0.75,8.7338,0.015,0.01,1,2,0
8.615,1.05,0.71,0.86,-1.12,18.74,1.58,8.44,0.127,8.45,0.14,8.4899,0.005,0.01,1,2,0
8.897,0.95,0.49,0.91,35.26,210.73,29.35,7.95,0.755,8.028,0.8,8.0865,0.015,0.01,1,7,0
9.038,1.13,0.6,0.93,-2.22,72.27,11.58,8.48,0.473,8.534,0.54,8.5848,0.015,0.02,0,3,0
8.811,1.11,0.76,0.71,-6.92,38.44,4.31,8.34,0.409,8.393,0.48,8.4329,0.011,0.01,1,0,0
9.241,0.89,0.58,0.69,-0.42,23.14,4.71,7.75,1.152,7.881,1.11,7.9134,0.012,0.01,1,2,1
9.106,0.82,0.62,0.56,-4.97,270.7,17.0,8.34,0.619,8.435,0.67,8.4843,0.002,0.02,0,7,0
7.169,0.92,0.49,0.77,17.09,4.61,5.61,5.41,1.346,5.562,1.31,5.577,0.001,0.03,0,2,1
8.195,0.88,0.47,0.79,8.79,41.63,7.77,6.93,0.994,7.037,0.97,7.0901,0.008,0.01,1,3,1
10.146,1.09,0.76,0.76,-66.87,135.23,27.46,9.04,0.891,9.109,0.9,9.1794,0.02,0.01,1,0,0
8.517,1.06,0.56,1.0,2.62,56.05,7.57,7.85,0.561,7.915,0.63,7.9744,0.001,0.0,1,3,0
8.357,0.59,0.53,0.5,12.91,-10.01,4.78,7.21,0.916,7.301,0.91,7.3685,0.008,0.01,1,0,1
10.203,1.48,0.66,1.41,-6.71,11.22,3.36,8.98,0.966,9.081,0.95,9.1432,0.026,0.02,1,3,1
7.259,0.77,0.47,0.51,-2.49,0.25,2.16,7.09,0.137,7.117,0.15,7.1427,0.009,0.01,1,4,1
9.448,0.94,0.73,0.79,-7.35,12.71,8.01,8.85,0.518,8.911,0.59,8.9651,0.007,0.01,1,0,0
9.406,1.02,0.76,0.81,-2.43,5.9,0.53,9.21,0.142,9.217,0.16,9.2643,0.004,0.0,0,7,0
11.276,1.54,0.99,1.13,-127.23,739.96,29.15,9.92,1.071,10.121,1.13,10.0836,0.0,0.0,0,7,0
7.828,0.74,0.49,0.46,-2.16,-3.17,1.15,7.06,0.63,7.146,0.7,7.1954,0.007,0.01,1,7,1
8.979,1.15,0.56,0.98,-27.05,3.98,10.91,8.45,0.481,8.481,0.55,8.5464,0.015,0.02,0,7,0
9.77,1.49,0.73,1.39,-9.22,101.2,16.48,9.02,0.599,9.115,0.67,9.1426,0.021,0.02,1,3,0
9.65,1.1,0.73,0.67,-39.53,-40.97,1.34,8.17,1.14,8.305,1.1,8.3411,0.013,0.01,1,0,1
10.405,1.46,0.8,1.34,-18.03,170.46,9.92,9.72,0.557,9.704,0.63,9.8521,0.003,0.0,0,3,0
10.219,1.33,0.8,0.98,-75.64,-62.49,10.46,9.34,0.695,9.437,0.75,9.4731,0.022,0.02,1,2,0
10.099,1.25,0.77,1.05,-7.15,-2.32,3.89,9.32,0.625,9.409,0.69,9.4546,0.022,0.02,1,2,0
8.327,1.05,0.53,1.06,-37.56,47.47,10.93,7.91,0.392,7.948,0.46,8.0026,0.001,0.0,0,3,0
9.502,0.98,0.87,0.89,5.13,0.92,2.05,7.49,1.6,7.685,1.52,7.6203,0.495,0.04,1,0,1
7.866,0.79,0.5,0.53,-45.06,-87.8,7.97,6.53,1.041,6.639,1.01,6.6963,0.001,0.02,0,1,1
8.1,0.7,0.42,0.46,10.39,60.54,5.93,6.18,1.467,6.34,1.48,6.3113,0.007,0.01,1,6,1
7.841,0.76,0.43,0.64,3.73,86.82,6.88,6.58,0.99,6.689,0.97,6.7432,0.007,0.01,1,7,1
9.909,0.9,0.66,0.55,2.17,1.37,0.15,7.8,1.634,7.982,1.83,7.892,0.015,0.05,1,0,1
7.928,0.87,0.46,0.71,-17.19,-3.9,6.05,6.56,1.074,6.671,1.04,6.7264,0.003,0.0,1,3,1
10.331,1.19,0.87,0.72,-24.15,20.05,0.0,8.68,1.29,8.795,1.25,8.8387,0.019,0.02,1,0,1
7.214,0.87,0.46,1.14,-24.69,60.48,5.33,5.29,1.478,5.445,1.6,5.4056,0.008,0.03,1,3,1
8.782,1.21,0.66,1.12,6.8,56.64,9.81,8.25,0.448,8.287,0.52,8.3658,0.015,0.02,0,2,0
10.432,1.22,0.83,0.78,-20.74,-28.64,4.7,8.94,1.151,9.073,1.11,9.1081,0.024,0.02,1,1,1
9.479,0.93,0.74,0.66,-25.41,30.03,5.47,9.0,0.415,9.054,0.48,9.0936,0.018,0.02,1,0,0
10.478,1.53,1.22,0.95,-7.13,13.9,2.9,9.91,0.521,9.928,0.59,10.0277,0.028,0.03,1,0,0
9.614,1.34,0.71,1.18,-96.1,215.67,15.32,8.73,0.707,8.841,0.76,8.8828,0.002,0.0,0,3,0
9.649,1.4,0.83,1.09,20.36,-11.77,4.61,9.12,0.471,9.171,0.54,9.2299,0.015,0.02,0,2,0
10.502,1.23,0.81,0.66,-52.44,1.42,5.62,9.23,0.995,9.343,0.97,9.3912,0.022,0.02,1,0,1
8.564,1.46,1.55,2.39,-1.19,-0.02,5.39,8.14,0.364,8.191,0.43,8.2282,0.013,0.01,1,3,0
7.272,0.6,0.48,0.54,2.64,13.92,1.73,7.22,0.054,7.219,0.07,7.2376,0.007,0.01,1,0,1
8.183,0.96,0.57,0.74,5.33,29.92,5.91,8.15,0.029,8.146,0.05,8.1622,0.002,0.0,1,3,0
9.164,0.99,0.6,0.84,115.26,267.83,15.34,7.95,0.945,8.064,0.99,8.1121,0.0,0.0,1,2,1
10.39,1.25,0.98,0.85,-43.6,-63.89,7.06,9.56,0.659,9.655,0.72,9.6995,0.027,0.02,1,0,0
9.605,0.96,0.73,0.64,17.18,25.75,4.18,8.51,0.873,8.607,0.88,8.667,0.015,0.01,1,0,1
8.769,0.87,0.56,0.6,-6.96,43.06,4.24,7.53,0.98,7.629,0.96,7.6947,0.01,0.01,1,1,1
6.553,0.8,0.43,0.67,-2.74,0.5,1.21,6.71,-0.116,6.689,-0.1,6.6801,0.004,0.01,0,7,0
8.197,0.78,0.6,0.5,35.09,-117.31,49.18,7.22,0.775,7.308,0.82,7.3676,0.002,0.0,0,0,0
10.646,1.24,0.68,1.15,8.34,3.32,1.97,8.49,1.63,8.681,1.65,8.6008,0.034,0.04,1,3,1
8.539,0.81,0.54,0.54,-2.61,-1.05,0.92,7.94,0.501,8.005,0.57,8.0537,0.01,0.01,1,7,1
9.205,0.75,0.57,0.53,-5.53,19.65,2.95,7.8,1.099,7.906,1.06,7.9404,0.013,0.01,1,7,0
10.678,1.76,0.96,1.48,3.43,5.25,5.79,9.94,0.626,9.986,0.69,10.0718,0.048,0.04,1,3,0
8.781756678668268,3.02,1.62,2.8,-2.93,2.63,1.56,11.44,1.2,7.975777382882781,1.33,11.5606,0.02,0.04,1,6,0
10.619,1.46,0.79,1.23,-20.86,16.9,3.85,9.03,1.263,9.117,1.22,9.1915,0.035,0.04,1,3,1
7.867,0.78,0.42,0.6,-80.54,-16.55,7.17,6.52,1.05,6.638,1.02,6.6883,0.006,0.01,1,7,1
9.301,1.15,0.66,0.98,-9.52,16.72,-0.86,8.17,0.899,8.268,0.9,8.333,0.018,0.01,1,2,1
8.075,0.86,0.55,0.6,-0.85,70.01,14.72,7.57,0.453,7.608,0.52,7.6651,0.015,0.02,0,1,1
2.585,0.81,0.44,0.67,-8.24,4.7,9.79,2.83,-0.19,2.803,-0.22,2.7544,0.002,0.01,0,7,1
8.432,1.08,0.63,0.89,2.66,25.34,11.12,7.98,0.396,8.017,0.46,8.0745,0.013,0.01,0,3,0
7.087,1.15,1.24,2.08,-32.71,-15.68,8.08,6.24,0.68,6.344,0.74,6.3777,0.005,0.0,1,7,1
10.88,1.55,1.08,1.25,-1.06,1.14,0.12,10.24,0.57,10.285,0.64,10.3618,0.015,0.01,1,7,0
10.037,1.27,0.58,1.09,-19.66,34.95,3.88,8.72,1.037,8.824,1.01,8.8843,0.025,0.02,1,7,1
9.803,0.99,0.75,0.73,-5.83,39.16,2.49,8.44,1.079,8.537,1.04,8.6064,0.018,0.01,1,0,1
10.38,0.97,0.74,0.77,-19.91,-2.64,4.32,8.84,1.202,8.956,1.16,9.0045,0.024,0.02,1,0,1
10.22,1.25,0.8,0.63,50.14,123.21,30.0,9.05,0.913,9.156,0.96,9.1924,0.02,0.02,1,1,0
6.101,0.74,0.42,0.46,-146.91,-122.76,28.57,5.71,0.331,5.752,0.39,5.7891,0.004,0.01,1,7,1
8.796,1.12,0.61,1.07,-28.16,-34.38,4.09,8.58,0.178,8.571,0.2,8.6403,0.004,0.01,1,2,1
10.486,1.09,0.92,0.75,-11.54,-0.35,2.87,9.22,0.993,9.33,0.97,9.3885,0.027,0.02,1,0,1
7.965,0.83,0.47,0.75,-78.73,37.59,3.22,5.94,1.548,6.128,1.55,6.0582,0.004,0.09,0,2,1
10.441,1.45,1.01,0.79,0.46,-19.66,4.25,8.99,1.134,9.104,1.1,9.1592,0.021,0.02,1,1,1
8.083,0.8,0.49,0.7,9.89,-3.21,4.23,6.14,1.49,6.304,1.51,6.2668,0.004,0.01,1,2,1
7.195,0.91,0.62,0.52,-22.56,-17.29,9.78,6.97,0.18,6.988,0.19,7.0261,0.015,0.02,1,1,1
8.289,0.94,0.5,0.91,-74.95,127.13,6.48,6.86,1.096,7.0,1.06,7.0294,0.009,0.01,1,4,1
10.252,1.15,0.82,0.79,-34.05,24.77,2.5,8.54,1.31,8.691,1.27,8.6964,0.018,0.02,1,1,1
9.866,1.95,1.34,1.13,8.15,139.98,6.24,9.09,0.631,9.143,0.7,9.2236,0.002,0.0,0,0,0
9.664,0.87,0.74,0.75,-47.52,84.14,22.86,8.76,0.743,8.819,0.79,8.9026,0.022,0.02,1,0,0
7.754,0.76,0.55,0.52,44.93,106.42,14.45,7.15,0.513,7.211,0.59,7.2662,0.004,0.0,1,0,0
7.166,1.03,0.52,0.85,4.75,17.16,3.24,7.39,-0.165,7.352,-0.17,7.3253,0.008,0.01,1,3,0
9.704,1.17,0.82,0.65,-100.39,245.91,10.74,8.93,0.628,9.01,0.7,9.0631,0.014,0.01,1,0,0
