BTmag,e_Plx,e_DEdeg,e_RAdeg,pmDE,pmRA,Plx,Vmag,B-V,VTmag,V-I,Hpmag,e_B-V,e_V-I,r_Vmag,r_SpType,SpType
6.43,0.47,0.39,0.4,-176.95,-56.52,14.77,4.78,1.254,4.928,1.26,4.9354,0.039,0.02,0,7,1
6.049,0.56,0.43,0.39,-1.34,-2.8,0.86,5.58,0.407,5.618,0.47,5.6725,0.003,0.0,1,7,1
9.127,1.06,0.55,0.67,-28.13,-19.57,5.08,8.7,0.366,8.752,0.43,8.7834,0.012,0.01,1,2,0
10.493,1.38,0.67,1.1,-12.27,16.06,2.93,9.14,1.08,9.243,1.04,9.2966,0.015,0.01,0,2,1
8.358,0.83,0.61,0.61,-26.03,-14.27,8.11,8.13,0.2,8.142,0.22,8.1954,0.013,0.01,1,7,0
7.266,0.79,0.41,0.46,-14.84,33.7,3.51,6.62,0.545,6.682,0.62,6.7434,0.005,0.01,1,1,1
8.085,0.78,0.49,0.65,-28.01,18.5,5.84,6.6,1.153,6.724,1.12,6.7635,0.009,0.01,1,7,1
6.187,0.69,0.42,0.41,-1.77,5.11,2.45,6.25,-0.042,6.238,-0.02,6.2437,0.005,0.01,1,4,1
9.684,0.93,0.74,0.77,-35.54,100.92,8.98,9.04,0.546,9.102,0.62,9.1634,0.016,0.01,1,0,0
4.964,0.71,0.42,0.74,-10.25,18.9,7.98,5.13,-0.128,5.106,-0.12,5.0831,0.009,0.02,1,7,1
9.288,1.29,0.58,1.01,-341.77,-130.61,4.39,8.96,0.306,8.988,0.35,9.0492,0.002,0.0,0,2,0
8.422,0.84,0.43,0.62,-44.75,-19.88,7.5,7.04,1.06,7.177,1.11,7.211,0.015,0.02,1,2,1
8.279,1.37,0.82,0.97,-15.52,89.74,7.56,7.78,0.411,7.824,0.48,7.8718,0.002,0.0,1,7,1
6.483,0.94,0.41,0.8,-41.32,46.62,7.86,4.37,1.631,4.588,2.35,4.412,0.011,0.02,1,7,1
8.698,0.84,0.65,0.66,-8.04,8.33,3.09,8.6,0.1,8.606,0.07,8.6265,0.015,0.01,1,7,0
8.366,0.89,0.45,0.66,-35.97,121.63,7.03,7.09,0.999,7.202,0.98,7.2519,0.006,0.01,1,2,1
8.602,0.8,0.64,0.64,3.76,14.52,2.07,8.68,-0.052,8.649,-0.03,8.6699,0.006,0.01,0,0,0
9.102,1.26,0.6,1.11,2.68,16.59,2.92,8.98,0.107,8.973,0.12,9.0205,0.002,0.0,1,2,0
9.176,0.82,0.6,0.59,36.86,114.98,4.41,7.98,0.97,8.077,0.95,8.14,0.015,0.01,1,7,1
9.684,1.18,0.81,0.76,-12.05,-47.58,9.46,8.86,0.66,8.947,0.72,8.997,0.015,0.01,1,0,0
10.801,1.98,1.67,1.98,-231.8,207.45,63.03,9.24,1.39,9.295,1.65,9.3369,0.042,0.11,1,7,0
10.214,2.02,0.82,1.52,-8.33,-29.52,5.96,9.63,0.509,9.68,0.58,9.7406,0.024,0.03,1,3,0
8.781756678668268,3.03,1.92,2.4,-918.72,778.59,80.63,5.8,0.69,7.975777382882781,0.82,5.8735,0.015,0.05,0,7,0
10.173,1.83,1.49,1.41,-0.1,15.17,3.89,8.86,1.035,8.963,1.01,9.0247,0.021,0.02,1,7,1
8.6,2.5,1.31,3.17,8.25,99.62,9.02,7.97,0.556,7.997,0.63,8.0951,0.015,0.01,0,2,0
7.548,0.9,0.45,0.73,32.13,261.21,14.91,6.9,0.534,6.956,0.61,7.0259,0.002,0.0,0,3,0
4.852,0.87,0.44,0.74,14.0,9.66,6.4,5.04,-0.15,5.009,-0.14,4.9895,0.042,0.02,1,2,0
6.555,0.82,0.47,0.68,-4.11,-0.87,7.55,6.33,0.182,6.354,0.2,6.3912,0.002,0.0,1,7,0
6.069,0.77,0.45,0.67,-47.5,-93.55,26.53,5.7,0.315,5.735,0.36,5.7806,0.006,0.01,1,7,0
10.438,1.59,0.71,1.18,7.37,22.6,2.16,9.18,0.981,9.297,0.96,9.3429,0.022,0.02,1,3,1
10.201,1.0,0.61,0.68,-6.43,42.05,2.53,8.53,1.274,8.685,1.23,8.6903,0.018,0.02,1,1,1
7.222,1.67,1.64,1.68,1.14,3.32,1.57,5.87,1.073,5.963,1.04,6.0384,0.005,0.0,1,6,1
7.404,9.62,15.05,15.95,9.09,8.09,-0.69,7.2,0.085,7.294,0.06,7.3013,0.009,0.01,1,7,0
9.696,1.05,0.76,0.72,-16.14,-26.92,4.14,8.42,1.005,8.524,0.98,8.5823,0.014,0.01,1,0,1
10.291,1.16,0.6,0.67,-20.43,-3.09,2.62,8.85,1.113,8.981,1.08,9.0207,0.018,0.02,1,1,1
8.455,1.11,0.54,0.86,2.81,20.22,5.18,8.43,0.007,8.421,0.03,8.4408,0.004,0.0,0,2,0
10.134,1.32,0.63,0.75,-37.0,60.22,6.32,9.0,0.903,9.096,0.9,9.1591,0.016,0.01,1,1,1
8.991,0.93,0.46,0.65,45.7,21.85,7.41,7.76,0.967,7.868,0.95,7.92,0.008,0.01,1,2,1
9.143,0.8,0.59,0.58,-2.53,-5.55,4.11,7.82,1.041,7.925,1.01,7.9821,0.011,0.01,1,0,1
10.431,1.21,0.64,1.0,-26.85,-27.86,-0.53,8.65,1.349,8.82,1.31,8.802,0.028,0.03,1,3,1
